Gene Name;Overall Rank;All Diseases Rank;ARDs Rank;Strongest Linked ARD;Aging Rank;Human Link Y/N;M. musculus Link;C. elegans Link;D. melanogaster Link;Development Level;Pharos TDL
TP53;1;1;4;Cancer;1;Yes;Unclear;Anti-Longevity;Unclear;Medium;Tchem
PPARG;2;6;3;Type 2 Diabetes Mellitus;6;Yes;Pro-Longevity;Unclear;None;High;Tclin
NR3C1;3;2;1;Chronic Obstructive Pulmonary Disease;34;Yes;None;Unclear;None;High;Tclin
ESR1;4;4;14;Cancer;34;Yes;None;Unclear;None;High;Tclin
STAT3;5;29;12;Cancer;14;Yes;Pro-Longevity;None;Pro-Longevity;Medium;Tchem
AR;6;8;19;Cancer;34;Yes;Pro-Longevity;None;None;High;Tclin
MYC;7;15;52;Cancer;3;Yes;Anti-Longevity;None;Anti-Longevity;Low;Tchem
VDR;8;43;2;Type 2 Diabetes Mellitus;10;Yes;None;Unclear;None;High;Tclin
NFKB1;8;32;35;Osteoarthritis;34;Yes;Unclear;None;Anti-Longevity;High;Tclin
NFE2L2;10;26;44;Cancer;6;Yes;Pro-Longevity;Pro-Longevity;Unclear;High;Tchem
SMAD3;11;10;29;Cancer;62;Yes;None;Anti-Longevity;Unclear;Low;Tchem
FOXO3;12;40;62;Alzheimer Disease;2;Yes;Pro-Longevity;Pro-Longevity;Unclear;Low;Tbio
HIF1A;13;73;28;Alzheimer Disease;6;Yes;Pro-Longevity;Unclear;Anti-Longevity;Medium;Tchem
ERG;14;38;25;Benign Prostatic Hyperplasia;62;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
FOXO1;15;35;86;Osteoarthritis;3;Yes;Pro-Longevity;Pro-Longevity;Unclear;Low;Tbio
TBX3;16;23;54;Chronic Obstructive Pulmonary Disease;62;Yes;None;None;None;None;Tbio
KLF4;17;87;26;Myocardial Infarction;34;Yes;Pro-Longevity;None;None;Low;Tbio
HNF4A;18;41;31;Type 2 Diabetes Mellitus;62;Yes;None;Unclear;None;Medium;Tchem
PPARA;19;131;13;Type 2 Diabetes Mellitus;10;Yes;Pro-Longevity;Unclear;None;High;Tclin
HMGA2;20;46;38;Type 2 Diabetes Mellitus;62;Yes;None;None;None;None;Tbio
THRB;20;62;53;Non-Alcoholic Fatty Liver Disease;127;Yes;None;Unclear;None;High;Tclin
ETV6;22;44;46;Cancer;127;Yes;None;Pro-Longevity;Pro-Longevity;Low;Tbio
RARB;23;63;82;Chronic Obstructive Pulmonary Disease;62;Yes;None;Unclear;Anti-Longevity;High;Tclin
CUX1;24;45;50;Cancer;127;Yes;None;None;None;Medium to Low;Tbio
PGR;25;76;56;Cancer;62;Yes;None;Unclear;None;High;Tclin
ARNTL;26;139;24;Osteoarthritis;25;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
ZFHX3;27;12;8;Heart Failure;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
STAT5B;28;105;100;Cancer;14;Yes;Pro-Longevity;None;Pro-Longevity;Low;Tchem
CREB1;29;142;58;Alzheimer Disease;14;Yes;Unclear;Unclear;None;Medium to Low;Tbio
JUN;30;155;36;Cancer;34;Yes;Pro-Longevity;None;None;Low;Tchem
BCL11A;31;28;17;Cancer;25;Yes;Unclear;None;None;None;Tbio
ETS1;31;92;114;Type 2 Diabetes Mellitus;34;Yes;None;Pro-Longevity;Anti-Longevity;None;Tbio
NFKB2;31;103;93;Alzheimer Disease;127;Yes;Pro-Longevity;None;None;Medium;Tchem
EBF1;34;25;122;Type 2 Diabetes Mellitus;127;Yes;None;None;None;Medium to Low;Tbio
HMGA1;35;68;91;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
RUNX1;36;7;188;Cancer;34;Yes;None;None;None;Low;Tbio
AHR;36;82;134;Cancer;62;Yes;Anti-Longevity;Anti-Longevity;None;High;Tclin
FOXP1;38;11;166;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
